text,emp,eta,n_prefix,n_token,lcs
" Anastasia, willing to stay with Ahmed, is reluctant",,tensor(0.1295),1,12,2
"\n\nGlutamate dehydrogenases ,  and  (GluDH) are enzymes that catalyse the NAD- and/or NADP-dependent reversible deamination of L-glutamate into alpha-ketoglutarate",,tensor(0.0580),2,47,6
\n\nHistory\nLagrasse dates from the time the abbey was built,,tensor(0.0429),0,19,1
"\n\nAlexander has produced illustrations for Dark Horse Comics, Warner Brothers, DC Comics, Hasbro, White Wolf, Inc, and Dalmatian Press",,tensor(0.0693),2,32,4
"\n\nOperations \n\nThe railway generally operates on a 'one engine in steam' principle on most days, operating throughout the year on weekends and daily during half terms and school holidays",,tensor(0.0472),1,41,4
Ouaoumana is a commune in Khénifra Province of the Béni Mellal-Khénifra administrative region of Morocco,,tensor(0.1335),4,30,4
" It is also directed by Ei Aoki; produced by Atsuhiro Iwakami; music by Yuki Kajiura; character design by Atsushi Ikariya and Tomonori Sudou; and art, 3D, and photography directions by Koji Eto, Kōjirō Shishido, and Yuichi Terao respectively",,tensor(0.0266),2,77,4
 OSP also built its own semi-permanent two-story wooden thrust stage in 1990,,tensor(0.0787),1,19,4
" Louis Rams coaches\nCategory:San Francisco 49ers coaches\nCategory:Pittsburgh Steelers coaches\nCategory:Sportspeople from Berkeley, California\nCategory:Wake Forest Demon Deacons football coaches",,tensor(0.0114),0,45,9
"com\nTillamook Rock Lighthouse entry in National Park Service inventory of historic lighthouses\nArticle on Tillamook Rock Lighthouse in Lighthouse Digest Magazine Jul/Aug 2016 containing many keeper photos\nTillamook Rock Lighthouse  Documentary produced by Oregon Field Guide\n\nCategory:Lighthouses completed in 1881\nCategory:Lighthouses on the National Register of Historic Places in Oregon\nCategory:National Register of Historic Places in Clatsop County, Oregon\nCategory:Oregon Coast\nCategory:Transportation buildings and structures in Clatsop County, Oregon\nCategory:1881 establishments in Oregon",,tensor(0.0002),0,135,13
 The design of the Super Class Ferry was done in Seattle by W,,tensor(0.0203),0,14,2
"The Burton is a historic apartment building located at Indianapolis, Indiana",,tensor(0.2940),3,12,3
" Fletcher, an Associate Justice and Chief Justice of the Supreme Court of Georgia\nRichard Fletcher (American politician), an Associate Justice of the Massachusetts Supreme Judicial Court\nRobert Virgil Fletcher, an Associate Justice of the Supreme Court of Mississippi\nWilliam A",,tensor(0.0643),3,51,6
"\n Oklahoma Farm Bureau\n Open for Business, an online general interest publication with a technology focus\n The Sims 2: Open for Business\n Oregon Food Bank\nOFB, or Original Farm Boys, a UK drill music group based in Broadwater Farm Estate",,tensor(0.0404),2,56,5
"\n\nSelected publications\nwith Ernesto Lupercio: Gerbes over orbifolds and twisted K-theory, Communications in Mathematical Physics, vol",,tensor(0.0611),2,34,3
 Vogue fashion published an article in 2015 about the circular captive bead belly rings and TummyToys snap lock clasps becoming the current trend for navel piercings,,tensor(0.0869),3,35,2
" Although he does not appear in person in Death by Degrees, Nina Williams' spin-off game, he is mentioned several times in journals and documents, and he has a laboratory on the Solitaria Penitentiary island, although it's abandoned",,tensor(0.0293),1,51,4
"Massimo Natili (July 28, 1935 –  September 19, 2017) was a racing driver from Italy",,tensor(0.2377),5,22,4
"Whip snake may refer to:\n\nGenera \n Ahaetulla, endemic to southern Asia, from India to Vietnam\n Demansia, endemic to Australia, Papua New Guinea, and nearby islands\n Hemorrhois, endemic to the western Mediterranean, west, central, and southern Asia\n Hierophis, endemic to southern Europe\n Masticophis, endemic to the Americas\n Psammophis, endemic to Africa and Asia\n\nSpecies \n Caspian whipsnake (Dolichophis caspius), found in the Balkans and Eastern Europe\n Red whip snake (Platyceps collaris), found in Bulgaria and the Levant\n Parasuta dwyeri, found in Australia from New South Wales to South Queensland\n White-lipped snake (Drysdalia coronoides), found in Tasmania and southeastern Australia\n\nCategory:Animal common name disambiguation pages",,tensor(0.0049),1,206,13
"\n\nWith effect from September 2012, the school no longer make use of Le Fousseau",,tensor(0.0426),0,20,2
\nThe use of topical antibiotics to treat surgical wounds does not reduce infection rates in comparison with non-antibiotic ointment or no ointment at all,,tensor(0.0617),2,33,2
\n\nNevada was won by Ulysses S,,tensor(0.1924),2,14,2
"Queen Victoria's Commemoration Medal 1900 (Ireland), more commonly referred to as the Visit to Ireland Medal 1900, was awarded to those members of the Irish Police Forces on duty at Queen Victoria’s various engagements during her visit to Ireland in 1900",,tensor(0.0885),4,52,6
 The proboscis or rostrum lacks a beak,,tensor(0.2313),2,12,3
"\n\nB\nAleksandra Belcova (1892–1981), painter\nBiruta Baumane (born 1922), painter\n\nD\nLilija Dinere (born 1955), painter, illustrator\n\nK\nIngrīda Kadaka (born 1967), book designer, illustrator\nAina Karlsone (1935–2012), artist, writer\n\nO\nSimona Orinska (born 1978), contemporary artist\n\nP\nTatyana Palchuk (born 1954), painter\nLucia Peka (1912–1991), Latvian-American painter\nLīga Purmale (born 1948), painter\n\nS\nDaina Skadmane (1990–2013), painter, lithographer\nRoze Stiebra (born 1942), animator\n\n-\nLatvian\nArtists\nArtists, women",,tensor(5.1316e-05),0,212,27
\n\nRegular season\n\nStandings\n\n2013 NCAA Tournament\n\nNote: * denotes overtime period(s)\n\nPlayer stats\n\nScoring leaders\n\n  \nGP = Games played; G = Goals; A = Assists; Pts = Points; PIM = Penalty minutes\n\nLeading goaltenders\n\nGP = Games played; Min = Minutes played; W = Wins; L = Losses; T = Ties; GA = Goals against; SO = Shutouts; SV% = Save percentage; GAA = Goals against average\n\nAwards\n\nNCAA\n\nAtlantic Hockey\n\nCCHA\n\nECAC\n\nHockey East\n\nWCHA\n\nReferences\n\nExternal links\nUSCHO,,tensor(4.3279e-15),0,196,41
" In 1972-1978,  the collection was turned over to the state by the Swiss Federal Office for military airfields",,tensor(0.0581),1,23,3
"Liu Fu may refer to:\n\n Liu Fu (prince) (劉輔; died 84), Eastern Han Dynasty prince, son of Emperor Guangwu\n Liu Fu (Yuanying) (劉馥; died 208), style name Yuanying (元穎), Eastern Han Dynasty politician\n Liu Fu (cyclist) (born 1957), Chinese Olympic cyclist\n Liu Bannong or Liu Fu (劉復, 1891–1934), Chinese linguist and poet",,tensor(0.0173),1,108,6
" The hurricane affected the southern Louisiana region one week before the Louisiana Maneuvers, a prelude to World War II",,tensor(0.1134),2,25,2
"Vaishnav was a sailor from France, who represented his native country at the 1900 Summer Olympics in Paris, France",,tensor(0.1491),3,23,4
", while the video clip was frequently aired on television at the time of the release",,tensor(0.1083),1,16,2
"Cleopas Ncube (born November 21, 1983) is a Canadian wrestler",,tensor(0.2389),4,18,5
 He became director of the Institute of Art and Crafts of Asti,,tensor(0.0618),0,14,2
 The headquarters of the borough council were located in Sandbach,,tensor(0.1176),1,11,2
" The current route of FM 2767 was designated on December 20, 1963",,tensor(0.0824),1,14,1
 He served as the Liberty town clerk and was a farmer,,tensor(0.1128),1,11,1
 Interministerial Instruction on road signs,,tensor(0.0356),0,8,1
Marind may refer to:\nMarind people\nMarind languages\nMarind language,,tensor(0.3347),6,20,8
 Corbett married Jennie Wright,,tensor(0.1407),0,6,1
"Fouilloy is the name of the following communes in France:\n\n Fouilloy, Oise, in the Oise department\n Fouilloy, Somme, in the Somme department",,tensor(0.0314),1,46,8
" In 1944, she signed a seven-year contract with RKO Pictures",,tensor(0.1372),1,14,4
" Love (1831–1887), colonel in the Union Army and Medal of Honor recipient\n George H",,tensor(0.0660),1,22,3
\n\nBus connections \nCTA\n  7 Harrison (Weekdays only)\n  49 Western (Owl Service) \n  X49 Western Express (Weekday Rush Hours only)\n\nNotes and references\n\nNotes\n\nReferences\n\nExternal links \n\n Western (Congress Line) Station Page Chicago-L,,tensor(0.1085),8,79,13
  The church is recorded in the National Heritage List for England as a designated Grade I listed building,,tensor(0.1373),2,20,8
" About sixty in-folios in geography, numismatics, archeology were found, but also books of biblical scholarship, dictionaries and the Encyclopédie",,tensor(0.0577),1,33,3
 A concert series at UNC-Chapel Hill is named in his honor,,tensor(0.1883),2,15,5
"\n\nAthletic career\nApart from radio and TV broadcasting, Nemone is also a keen athlete",,tensor(0.0864),2,24,3
 Nadur Youngsters is one of the most popular football teams in Gozo and brings up young players from the village every year,,tensor(0.1036),2,25,4
\n\nSynopsis\n\nThis film is a personal journey travelling through time and space to unravel hidden stories and rediscover objects and images that at one time were an integral part of the lives of these artists through which their creations came into being,,tensor(0.0513),2,53,5
\n\nHe is a recipient of the 70th Birthday Badge Medal of King Carl XVI Gustaf (30 April 2016),,tensor(0.0553),1,29,3
 The basal part of the costa is tinged with yellow,,tensor(0.1701),2,12,2
" On June 4, 2018, creator Benjamin Freiburger confirmed on his Twitter account that the series would not return for a second season",,tensor(0.1677),4,26,4
"\n\nAmong the wildlife that can be found in Zanskar are the marmot, bear, wolf, snow leopard, bharal, alpine ibex, wild sheep and goats, and the lammergeier",,tensor(0.0774),3,48,4
"but we have now come to know that this dialect was essentially the same as that spoken by the sub-tribes occupying the land where Sydney now stands, and that they all formed part of one great tribe, the Kuriggai\"",
 Montoya had scored his last IndyCar win in 2000 at Gateway""",,tensor(0.0291),1,63,6
" Among his researches those about Ralph Waldo Emerson, Walt Whitman, and Vachel Lindsay",,tensor(0.2447),4,19,4
"org in October 2012, Fat Mike said that they had recorded 18 songs, but only 12 made the album",,tensor(0.0110),0,21,1
"David Lowell Ladd (September 18, 1926 – October 12, 1994) was a former Commissioner of Patents and Register of Copyrights in the United States, the first (and currently only) individual to serve in both offices",,tensor(0.0682),3,46,6
"Wiśnicze  () is a village in the administrative district of Gmina Wielowieś, within Gliwice County, Silesian Voivodeship, in southern Poland",,tensor(0.0028),0,41,15
"\n\nDouglas Busk, a British mountaineer,  climbed Alam-Kuh via the east ridge in 1933 and again in 1934 from over the west ridge",,tensor(0.0612),2,39,4
"\n\nLibretto\nVa, dal furor portata,\nPalesa il tradimento;\nMa ti sovvenga ingrata,\nIl traditor qual'è",,tensor(0.0276),1,43,3
 It is also authorised to build roads within its limits and impose taxes on properties coming under its jurisdiction,,tensor(0.1974),3,20,3
\n\nSeeds\n\nDraw\n\nDraw\n\nReferences\n Doubles Draw\n Qualifying Doubles Draw\n\nVirginia National Bank Men's Pro Championship - Doubles\n2009 Doubles,,tensor(0.1222),6,53,13
 No sub-species are listed at Catalogue of Life,,tensor(0.3392),3,11,3
\n\nCollections\nPockets Rug Collection (Spring 2011): Jean pockets are sewn together to form a patchwork rug,,tensor(0.0566),1,27,2
 There is strong evidence that the British troops may have had United Irishmen members or sympathizers among their ranks,,tensor(0.1840),3,21,4
" The original two-storey pub was built in 1720 by Belfast merchant Hugh Kelly who kept it as a bonded warehouse in which rum, gin and whiskey were his mainstays",,tensor(0.0718),2,36,4
\n\nA 2013 study found that nanotextured surfaces using cone forms produce highly water-repellent surfaces,,tensor(0.2335),5,25,5
Dan Pontefract is a Canadian businessperson and writer,,tensor(0.0704),0,12,1
"  The cavities that are formed by the octahedral chains that are occupied by A(1) and A(2) cations are occupied by Ca and its REE, Ce3+",,tensor(0.0708),2,38,7
", The Love There That's Sleeping: The Art and Spirituality of George Harrison, Continuum (New York, NY, 2006; )",,tensor(0.0328),0,29,2
" 3rd Brigade, 2nd Division, 2nd Army Corps, Army of the Potomac, to March, 1864",,tensor(0.0829),1,24,5
" Her St Petersburg debut was a huge success, with the Russian balletomanes and critics becoming completely enchanted by the Italian ballerina",,tensor(0.0747),2,28,3
Pedro Bernaldez de Sahagun (12th-century) was a medieval knight of Castile,,tensor(0.0896),1,22,2
 Her students in Montreal included Robert Savoie,,tensor(0.1360),1,9,1
"\n\nLines \n\nTokyo Metropolitan Bureau of Transportation\nNippori-Toneri Liner\n\nHistory \nThe station opened on March 30, 2008, when the Nippori-Toneri Liner began operation",,tensor(0.1295),6,53,9
" He had been involved in an earlier lynching of a motorcycle mechanic, Mithu Das, in the same district",,tensor(0.1106),2,23,4
\n\nServices\nTrains run 0455-0020 every day,,tensor(0.0239),0,16,2
 It's part of Toroslar district (which is an intracity district within Greater Mersin),,tensor(0.0396),0,21,1
\n\nCategory:Courts in the United States\nCategory:West Virginia state courts,,tensor(0.1996),3,20,5
"Euxoa violaris, the violet dart moth, is a species of moth native to North America",,tensor(0.2064),4,20,6
"The  is a museum located in Asuka Village, Nara Prefecture in Japan",,tensor(0.2373),4,17,4
"This list of bridges in Andorra lists bridges of particular historical, scenic, architectural or engineering interest",,tensor(0.0296),0,20,1
" He started his professional career as an entrepreneur, and was owner of various restaurants",,tensor(0.0624),0,15,2
Pop Train is a scheme of using Supplemental Nutrition Assistance Program (SNAP) card benefits to purchase soda and then re-selling the soda to turn a profit,,tensor(0.1599),4,31,7
" Wyman died six days later on December 15, 1953",,tensor(0.1288),1,11,1
"\n\nSemantic information on GVSM\n\nThere are at least two basic directions for embedding term to term relatedness, other than exact keyword matching, into a retrieval model:\n compute semantic correlations between terms\n compute frequency co-occurrence statistics from large corpora\n\nRecently Tsatsaronis focused on the first approach",,tensor(0.0581),4,73,7
"Trochactaeon is an extinct genus of fossil sea snails, marine gastropod mollusks in the family Acteonellidae",,tensor(0.2717),8,30,14
\n\nFootnotes\n\nReferences\n\nNotes\n\nBibliography\n\nCategory:1828 paintings\nCategory:Collections of York Art Gallery\nCategory:Dance in art\nCategory:John Milton\nCategory:Paintings by William Etty\nCategory:Paintings depicting Hebrew Bible themes\nCategory:Musical instruments in art\nCategory:Water in art,,tensor(0.0004),0,89,18
"\n\nAccomplishments\n DHB-Pokal:\n : 1981\n EHF Cup Winner's Cup:\n : 1981\n EHF Challenge Cup:\n : 1997, 1998\n European Club Championship:\n : 1981\n\nTeam\n\nCurrent squad\nSquad for the 2019–20 season\n\nGoalkeepers\n 12  Péter Tatai\n 21  Johannes Jepsen\nLeft Wingers\n8  Jens Bechtloff\n 45  Jan-Eric Speckmann\nRight Wingers \n 14  Peter Strosack\n 15  Marvin Mundus \nLine players\n2  Julius Brune\n7  Patryk Walczak\n 25  Moritz Schade \n\nLeft Backs\n 13  Marko Bagarić\n 23  Valentin Spohn\n 29  Marian Orlowski\nCentral Backs\n3  Roman Bečvář\n 10  Łukasz Gierak\nRight Backs\n5  Jó Gerrit Genz\n9  Dominik Ebner\n\nTransfers\nTransfers for the 2020–21 season\n\nJoining\n  Aljoša Rezar (GK) (from  Bjerringbro-Silkeborg)\n  Tom Skroblien (LW) (from  TUSEM Essen)\n  Benas Petreikis (CB) (from  EHV Aue)\n  Leoš Petrovský (P) (from  Bergischer HC)\n\nLeaving\n  Péter Tatai (GK) (to  Csurgói KK)\n  Jens Bechtloff (LW) (to  TSG Altenhagen-Heepen)\n  Marian Orlowski (LB) (to  ASV Hamm-Westfalen)\n  Jó Gerrit Genz (RB) (to  ASV Hamm-Westfalen)\n\nReferences\n\nCategory:German handball clubs\nCategory:Handball-Bundesliga\nCategory:Lübbecke",,tensor(0.0080),4,499,65
 The opera was not performed again at the Met until a new production was mounted in 1963,,tensor(0.1822),3,17,4
\n\nTrack Listing\n\nInfluence\nFrançoise Hardy covered The Garden of Jane Delawney on her album If You Listen,,tensor(0.0561),1,33,6
"\n\nCast\n Suzanne Talba as Conchita  \n José Durany as Pedro  \n Vasseur as Manuel  \n Maxa\n\nReferences\n\nBibliography\n Rège, Philippe",,tensor(0.2017),10,53,13
"\n A Natick-class tugboat serving the Naval Submarine Base, New London, Connecticut\n\nMetacom",,tensor(0.1145),3,28,4
Teremoana Tapi Taio is a Cook Islands politician and former Cabinet Minister,,tensor(0.0829),1,17,1
" Notable people with the surname include:\n\nJeremy Kellem (born 1989), American football player\nVivien Kellems (1896-1975), American inventor",,tensor(0.1114),4,40,7
 Senator Pat Roberts won re-election to a second term overwhelmingly,,tensor(0.1432),1,12,2
"  The festival opened with \Junoon\"" by Shyam Benegal in the out of Competition world premiere""",,tensor(0.0352),0,23,2
"This list of administrative communes consists of articles about the governmental divisions known as communes, as well as lists of communes",,tensor(0.1903),4,25,4
 She was a political adviser to Prime Minister Gro Harlem Brundtland in the Prime Minister's Office from 1992 to 1996,,tensor(0.1245),3,25,6
American Marriage Ministries is a non-denominational Internet church based in Seattle,,tensor(0.0763),1,16,2
" Foster, coaching his fifteenth season with the Badgers",,tensor(0.2009),2,11,2
"\n\nSingles main draw entrants\n\nSeeds\n\n 1 Rankings are as of January 30, 2017",,tensor(0.1606),4,30,9
" He was a longtime executive and scout in the National Basketball Association (NBA), including 27 years with the Sacramento Kings",,tensor(0.1561),3,23,3
" He promoted the construction of the church of Saint-Michel-de-Cuxa, consecrated in 953, and of the monastery",,tensor(0.0864),2,28,4
  It was built as a master planned community by Jordon Perlmutter,,tensor(0.0899),1,15,1
\n\nThe single was written and performed while the group was still a trio,,tensor(0.0749),1,17,2
\n\nDescription\nThe species is endemic to Sulawesi in Indonesia,,tensor(0.2005),3,17,3
" It is the site of a Verizon Wireless cell tower, a Dutchess County 911 Radio Repeater, and a fire tower that is no longer in service",,tensor(0.0893),2,33,4
" Inside the marsh, there is a two mile boardwalk",,tensor(0.1503),1,11,1
"\n\nIn 2008, the Brihanmumbai Municipal Corporation (BMC) included JNA as part of its disaster management operations to provide emergency communication support during the monsoons to provide live updates on the flooding situation in the city",,tensor(0.0924),4,49,8
"  In March 1945, during World War II, the U",,tensor(0.2460),2,12,4
 This approach offers several advantages to the engineering analyst: \n\nThe data used in the study can be tailored more precisely to the engineering problem under study,,tensor(0.0917),2,31,3
\n\nSee also\n List of psychiatry journals\n\nReferences\n\nExternal links \n \n\nCategory:Psychiatry journals\nCategory:Clinical psychology journals\nCategory:Publications established in 1897\nCategory:Karger academic journals\nCategory:Bimonthly journals\nCategory:English-language journals,,tensor(0.0133),1,77,17
 The peak's name was officially adopted in 1975 by the U,,tensor(0.0605),0,12,1
\n\nFinal table\n\nTop scorers\n\nAwards\n\nReferences\n\nCategory:Latvian Higher League seasons\n1\nLatvia\nLatvia,,tensor(0.1446),6,46,13
 1841) \n1802 – 1822                Rani Laxmipriya Devi (f) -Regent\n1841 –  9 Sep 1891         Niladhar Singh Deo                 (b,,tensor(0.0402),1,46,3
\n\nFurther reading\nAdachi Yoshio ,,tensor(0.0804),1,13,3
 It flowers in the southern hemisphere from April to May,,tensor(0.1575),1,10,2
" He took the examen artium in 1904, and graduated from the Royal Frederick University with the cand",,tensor(0.0418),0,20,2
Clarence Richard Roberts (4 November 1888 – 18 September 1966) was an Australian rules footballer who played with St Kilda in the Victorian Football League (VFL),,tensor(0.1211),3,33,10
\n\nSingle track listing \n\nWritten and composed by Yoshiki,,tensor(0.1037),1,17,3
 The shell can be grayish white on the outside with rather flat ribs that are somewhat darker,,tensor(0.0411),0,18,2
 They mine the leaves of their host plant,,tensor(0.0456),0,8,1
" As his son joined the New Fourth Army, he then was threatened by Hou Yibo, who forcibly occupied his house",,tensor(0.0490),1,24,3
\n\nUnited States Team Handball Federation organized the participation of U,,tensor(0.0489),0,15,1
 She was coached mainly by Dale Hazell and also trained with John Nicks in the summer of 2000,,tensor(0.0282),0,20,2
" Several large sized mammal groups are known from this region, such as rhinoceri, oreodonts and hyaenodonts, all co-existing with several flightless bathornithids",,tensor(0.0476),1,40,2
" Due to the darkness, Fletcher goes round in circles, and is severely disappointed to discover that he ends up back at the cottage with Barrowclough",,tensor(0.0700),2,30,2
" At the 2006 census, its population was 581, in 159 families",,tensor(0.0981),1,14,2
" The fine graters are also sometimes sold as a wooden board covered with shark skin, which has many tiny teeth (dermal denticles) and give it a feel similar to sandpaper",,tensor(0.0593),2,37,2
 The hindwings are whitish cinereous (ash grey) towards the base,,tensor(0.1030),1,18,2
com/mall/penn-square-mall\n\nCategory:Shopping malls established in 1960\nCategory:Shopping malls in Oklahoma\nCategory:Buildings and structures in Oklahoma City\nCategory:Economy of Oklahoma City\nCategory:Tourist attractions in Oklahoma City,,tensor(0.0331),2,66,9
 In Mozambique the latter river is called the Rio Elefantes,,tensor(0.0911),1,14,2
 It remains unnamed since its numbering in December 2007,,tensor(0.0280),0,10,1
 She won the double scull World U23 Championship in 2012 and the singles European Championship in 2016,,tensor(0.1204),2,19,3
"\n , operated by Ellerman Lines; sunk during the First World War\n , operated by Ellerman Lines; used as a troopship in the Second World War, being damaged by a mine in 1939, but survived; scrapped in 1956\n\nCategory:Ship names",,tensor(0.0438),2,59,5
\n\nHuard moved to the United Kingdom in 2000 to play in the British Ice Hockey Superleague for the London Knights but left the team after playing just one game to return to Canada to be with his girlfriend who was seven months pregnant at the time,,tensor(0.0609),3,52,5
  He stood again as a Cumann na nGaedheal candidate at the June 1927 general election and was elected to the 6th Dáil,,tensor(0.1567),4,31,6
"The Hundred of Stirling is a Hundred of the County of Buckingham (South Australia), centered on Keith, South Australia, South east of Adelaide, South Australia",,tensor(0.0987),3,32,3
\n\nSoaked to the Bone was officially released in February 2016 on Blue House Music and made the top 40 in the Official Charts Company Americana Chart,,tensor(0.0496),1,33,3
" However, they have a scheme to secure a footing for world conquest",,tensor(0.0075),0,13,1
Mogoditshane Fighters are a football (soccer) club from the Mogoditshane in Botswana,,tensor(0.1347),3,29,5
